Road,Lane,Hour,Direction,Valid,Date,Average_Speed,Average_Occupancy,Total_Volume,,No
Kwun Tong Road Eastbound,Middle Lane,19,South East,Y,6/3/2025,49.66666667,6.742753623,1228,,Yes
Kwun Tong Road Eastbound,Slow Lane,19,South East,Y,6/3/2025,47.63385827,5.177165354,1922,,Yes
Kwun Tong Road Eastbound,Middle Lane 1,19,South East,Y,6/3/2025,46.84051724,8.060344828,602,,Yes
Kwun Tong Road Eastbound,Middle Lane 2,19,South East,Y,6/3/2025,47.32758621,9.38362069,1168,,Yes
Kwun Tong Road Eastbound,Fast Lane,19,South,Y,6/3/2025,56.29891304,9.086956522,1732,,No
Kwun Tong Road Eastbound,Middle Lane,19,South,Y,6/3/2025,54.9076087,4.663043478,660,,No
Kwun Tong Road Eastbound,Slow Lane,19,South,Y,6/3/2025,55.39130435,2.429347826,169,,No
New Clear Water Bay Road Eastbound,Fast Lane,19,East,Y,6/3/2025,68.49456522,4.456521739,582,,No
New Clear Water Bay Road Eastbound,Middle Lane,19,East,Y,6/3/2025,60,6.27173913,312,,No
New Clear Water Bay Road Eastbound,Slow Lane,19,East,Y,6/3/2025,67.83152174,3.668478261,354,,No
New Clear Water Bay Road Eastbound,Fast Lane,19,North West,Y,6/3/2025,48.43478261,3.597826087,174,,Yes
New Clear Water Bay Road Eastbound,Slow Lane,19,North West,Y,6/3/2025,44.69565217,6.467391304,310,,Yes
New Clear Water Bay Road Eastbound,Fast Lane,19,South East,Y,6/3/2025,67.91304348,9.065217391,435,,No
New Clear Water Bay Road Eastbound,Middle Lane,19,South East,Y,6/3/2025,67.14130435,5.391304348,276,,No
New Clear Water Bay Road Eastbound,Slow Lane,19,South East,Y,6/3/2025,62.04347826,6.695652174,40,,No
New Clear Water Bay Road Westbound,Fast Lane,19,South,Y,6/3/2025,59.06521739,5.956521739,259,,No
New Clear Water Bay Road Westbound,Fast Lane,19,North West,Y,6/3/2025,57.08695652,5.27173913,287,,No
New Clear Water Bay Road Westbound,Slow Lane,19,North West,Y,6/3/2025,54.75,4.804347826,301,,No
New Clear Water Bay Road Westbound,Fast Lane,19,West,Y,6/3/2025,67.35869565,4.369565217,457,,No
New Clear Water Bay Road Westbound,Slow Lane,19,West,Y,6/3/2025,58.06521739,3.739130435,204,,No
Prince Edward Road Northeastbound,Fast Lane,19,North East,Y,6/3/2025,76,6.994565217,921,,No
Prince Edward Road Northeastbound,Slow Lane,19,North East,Y,6/3/2025,69.58152174,6.961956522,831,,No
Prince Edward Road Northeastbound,Middle Lane,19,North East,Y,6/3/2025,82.18478261,5.619565217,361,,No
Prince Edward Road Southeastbound,Fast Lane,19,South West,Y,6/3/2025,71.67058824,12.01176471,686,,No
Prince Edward Road Southeastbound,Slow Lane,19,South West,Y,6/3/2025,76.17647059,3.541176471,223,,No
Kwun Tong Road Westbound,Middle Lane 3,19,North West,Y,6/3/2025,59.61764706,2.323529412,324,,No
Kwun Tong Road Westbound,Middle Lane 4,19,North West,Y,6/3/2025,57.42647059,5.75,690,,No
Kwun Tong Road Eastbound,Fast Lane,19,South East,N,6/3/2025,63.20454545,3.113636364,213,,No
Kwun Tong Road Eastbound,Middle Lane 1,19,South East,N,6/3/2025,45.97727273,6.113636364,203,,Yes
Kwun Tong Road Eastbound,Middle Lane 2,19,South East,N,6/3/2025,50.34090909,5.659090909,287,,No
Kwun Tong Road Eastbound,Slow Lane,19,South East,N,6/3/2025,41.90909091,5.431818182,44,,Yes
Kwun Tong Road Westbound,Fast Lane,20,North West,Y,6/3/2025,55.34318182,3.188636364,1935,,No
Kwun Tong Road Westbound,Middle Lane 1,20,North West,Y,6/3/2025,52.86363636,3.511363636,1549,,No
Kwun Tong Road Westbound,Middle Lane 2,20,North West,Y,6/3/2025,53.85227273,2.693181818,1135,,No
Kwun Tong Road Westbound,Slow Lane,20,North West,Y,6/3/2025,48.58409091,2.754545455,843,,Yes
Kwun Tong Road Westbound,Fast Lane,20,North,Y,6/3/2025,67.32954545,6.022727273,631,,No
Kwun Tong Road Westbound,Middle Lane,20,North,Y,6/3/2025,65.94318182,2.965909091,394,,No
Kwun Tong Road Westbound,Slow Lane,20,North,Y,6/3/2025,47.27272727,3.772727273,135,,Yes
Kwun Tong Road Westbound,Middle Lane 3,20,North West,Y,6/3/2025,62.56818182,1.897727273,363,,No
Kwun Tong Road Westbound,Middle Lane 4,20,North West,Y,6/3/2025,61.04545455,4.318181818,754,,No
Kwun Tong Road Eastbound,Fast Lane,20,South East,Y,6/3/2025,60.14202335,4.846303502,2692,,No
Kwun Tong Road Eastbound,Middle Lane,20,South East,Y,6/3/2025,52.92045455,4.299242424,900,,No
Kwun Tong Road Eastbound,Slow Lane,20,South East,Y,6/3/2025,51.25486381,3.791828794,1647,,No
Kwun Tong Road Eastbound,Middle Lane 1,20,South East,Y,6/3/2025,54.192,3.54,720,,No
Kwun Tong Road Eastbound,Middle Lane 2,20,South East,Y,6/3/2025,56.956,5.744,1310,,No
Kwun Tong Road Eastbound,Fast Lane,20,South,Y,6/3/2025,64.89204545,5.926136364,1514,,No
Kwun Tong Road Eastbound,Middle Lane,20,South,Y,6/3/2025,59.51136364,3.8125,487,,No
Kwun Tong Road Eastbound,Slow Lane,20,South,Y,6/3/2025,57.63068182,1.5625,140,,No
Kwun Tong Road Eastbound,Fast Lane,20,South East,N,6/3/2025,67.07142857,2.214285714,60,,No
Kwun Tong Road Eastbound,Middle Lane 1,20,South East,N,6/3/2025,43.92857143,5.571428571,66,,Yes
Kwun Tong Road Eastbound,Middle Lane 2,20,South East,N,6/3/2025,52.57142857,4.714285714,93,,No
Kwun Tong Road Eastbound,Slow Lane,20,South East,N,6/3/2025,39.92857143,3.571428571,13,,Yes
New Clear Water Bay Road Eastbound,Fast Lane,20,East,Y,6/3/2025,68.16477273,3.017045455,398,,No
New Clear Water Bay Road Eastbound,Middle Lane,20,East,Y,6/3/2025,60,4.818181818,261,,No
New Clear Water Bay Road Eastbound,Slow Lane,20,East,Y,6/3/2025,68.49431818,2.602272727,233,,No
New Clear Water Bay Road Eastbound,Fast Lane,20,North West,Y,6/3/2025,50.88636364,2.613636364,115,,No
New Clear Water Bay Road Eastbound,Slow Lane,20,North West,Y,6/3/2025,47.15909091,4.409090909,196,,Yes
New Clear Water Bay Road Eastbound,Fast Lane,20,South East,Y,6/3/2025,71.39772727,5.5,287,,No
New Clear Water Bay Road Eastbound,Middle Lane,20,South East,Y,6/3/2025,69.79545455,4.147727273,266,,No
New Clear Water Bay Road Eastbound,Slow Lane,20,South East,Y,6/3/2025,58.39772727,6.681818182,43,,No
New Clear Water Bay Road Westbound,Fast Lane,20,South,Y,6/3/2025,59.92045455,4.329545455,193,,No
New Clear Water Bay Road Westbound,Fast Lane,20,North West,Y,6/3/2025,56.30681818,4.840909091,249,,No
New Clear Water Bay Road Westbound,Slow Lane,20,North West,Y,6/3/2025,56.125,3.795454545,214,,No
New Clear Water Bay Road Westbound,Fast Lane,20,West,Y,6/3/2025,68.90909091,3.340909091,362,,No
New Clear Water Bay Road Westbound,Slow Lane,20,West,Y,6/3/2025,56.32954545,3.25,163,,No
Prince Edward Road Northeastbound,Fast Lane,20,North East,Y,6/3/2025,74.77272727,5.363636364,745,,No
Prince Edward Road Northeastbound,Slow Lane,20,North East,Y,6/3/2025,69.61363636,5.306818182,635,,No
Prince Edward Road Northeastbound,Middle Lane,20,North East,Y,6/3/2025,83.39772727,3.965909091,263,,No
Prince Edward Road Southeastbound,Fast Lane,20,South West,Y,6/3/2025,76.81609195,8.034482759,542,,No
Prince Edward Road Southeastbound,Slow Lane,20,South West,Y,6/3/2025,78.4137931,2.701149425,210,,No
Kwun Tong Road Westbound,Fast Lane,21,North West,Y,6/3/2025,56.4877551,2.926530612,2092,,No
Kwun Tong Road Westbound,Middle Lane 1,21,North West,Y,6/3/2025,53.7627551,3.290816327,1567,,No
Kwun Tong Road Westbound,Middle Lane 2,21,North West,Y,6/3/2025,52.34438776,2.270408163,1239,,No
Kwun Tong Road Westbound,Slow Lane,21,North West,Y,6/3/2025,49.04081633,2.389795918,803,,Yes
Kwun Tong Road Westbound,Fast Lane,21,North,Y,6/3/2025,66.44897959,5.836734694,653,,No
Kwun Tong Road Westbound,Middle Lane,21,North,Y,6/3/2025,63.97959184,2.918367347,404,,No
Kwun Tong Road Westbound,Slow Lane,21,North,Y,6/3/2025,47.32653061,2.959183673,131,,Yes
Kwun Tong Road Westbound,Middle Lane 3,21,North West,Y,6/3/2025,63.62244898,1.520408163,328,,No
Kwun Tong Road Westbound,Middle Lane 4,21,North West,Y,6/3/2025,62.04081633,4.234693878,812,,No
Kwun Tong Road Eastbound,Fast Lane,21,South East,Y,6/3/2025,59.63095238,4.914965986,3157,,No
Kwun Tong Road Eastbound,Middle Lane,21,South East,Y,6/3/2025,53.03741497,4.010204082,1002,,No
Kwun Tong Road Eastbound,Slow Lane,21,South East,Y,6/3/2025,50.15646259,3.517006803,1827,,No
Kwun Tong Road Eastbound,Middle Lane 1,21,South East,Y,6/3/2025,53.37755102,3.319727891,846,,No
Kwun Tong Road Eastbound,Middle Lane 2,21,South East,Y,6/3/2025,55.70748299,6.136054422,1543,,No
Kwun Tong Road Eastbound,Fast Lane,21,South,Y,6/3/2025,62.54081633,6.173469388,1737,,No
Kwun Tong Road Eastbound,Middle Lane,21,South,Y,6/3/2025,60.06632653,3.051020408,586,,No
Kwun Tong Road Eastbound,Slow Lane,21,South,Y,6/3/2025,57.70918367,1.663265306,129,,No
New Clear Water Bay Road Eastbound,Fast Lane,21,East,Y,6/3/2025,66.453125,2.979166667,414,,No
New Clear Water Bay Road Eastbound,Middle Lane,21,East,Y,6/3/2025,60.60204082,4.816326531,293,,No
New Clear Water Bay Road Eastbound,Slow Lane,21,East,Y,6/3/2025,68.40104167,2.328125,238,,No
New Clear Water Bay Road Eastbound,Fast Lane,21,North West,Y,6/3/2025,51.59183673,2.040816327,110,,No
New Clear Water Bay Road Eastbound,Slow Lane,21,North West,Y,6/3/2025,50.52040816,4.234693878,196,,No
New Clear Water Bay Road Eastbound,Fast Lane,21,South East,Y,6/3/2025,67.16666667,5.09375,295,,No
New Clear Water Bay Road Eastbound,Middle Lane,21,South East,Y,6/3/2025,70.52083333,3.395833333,209,,No
New Clear Water Bay Road Eastbound,Slow Lane,21,South East,Y,6/3/2025,60.61458333,3.583333333,42,,No
New Clear Water Bay Road Westbound,Fast Lane,21,South,Y,6/3/2025,57.65306122,3.795918367,184,,No
New Clear Water Bay Road Westbound,Fast Lane,21,North West,Y,6/3/2025,55.10204082,4.93877551,274,,No
New Clear Water Bay Road Westbound,Slow Lane,21,North West,Y,6/3/2025,55.20408163,4.020408163,266,,No
New Clear Water Bay Road Westbound,Fast Lane,21,West,Y,6/3/2025,68.07142857,2.964285714,362,,No
New Clear Water Bay Road Westbound,Slow Lane,21,West,Y,6/3/2025,56.66326531,2.653061224,157,,No
Prince Edward Road Northeastbound,Fast Lane,21,North East,Y,6/3/2025,74.72959184,5.010204082,775,,No
Prince Edward Road Northeastbound,Slow Lane,21,North East,Y,6/3/2025,70.37755102,5.31122449,689,,No
Prince Edward Road Northeastbound,Middle Lane,21,North East,Y,6/3/2025,81.85714286,4.204081633,306,,No
Prince Edward Road Southeastbound,Fast Lane,21,South West,Y,6/3/2025,78.35714286,7.102040816,526,,No
Prince Edward Road Southeastbound,Slow Lane,21,South West,Y,6/3/2025,74.65306122,2.224489796,190,,No
New Clear Water Bay Road Eastbound,Fast Lane,21,East,N,6/3/2025,73.75,1.75,9,,No
New Clear Water Bay Road Eastbound,Slow Lane,21,East,N,6/3/2025,72,4.75,10,,No
New Clear Water Bay Road Eastbound,Fast Lane,21,South East,N,6/3/2025,66,12,13,,No
New Clear Water Bay Road Eastbound,Middle Lane,21,South East,N,6/3/2025,65.5,5,7,,No
New Clear Water Bay Road Eastbound,Slow Lane,21,South East,N,6/3/2025,70,0,0,,No
Kwun Tong Road Westbound,Fast Lane,22,North West,Y,6/3/2025,57.56521739,2.441304348,1677,,No
Kwun Tong Road Westbound,Middle Lane 1,22,North West,Y,6/3/2025,55.60054348,2.913043478,1318,,No
Kwun Tong Road Westbound,Middle Lane 2,22,North West,Y,6/3/2025,54.45923913,2.176630435,1063,,No
Kwun Tong Road Westbound,Slow Lane,22,North West,Y,6/3/2025,50.58695652,2.12173913,737,,No
Kwun Tong Road Westbound,Fast Lane,22,North,Y,6/3/2025,66.39130435,4.641304348,470,,No
Kwun Tong Road Westbound,Middle Lane,22,North,Y,6/3/2025,62.80434783,2.510869565,327,,No
Kwun Tong Road Westbound,Slow Lane,22,North,Y,6/3/2025,51.2173913,1.956521739,98,,No
Kwun Tong Road Westbound,Middle Lane 3,22,North West,Y,6/3/2025,64.23913043,1.217391304,242,,No
Kwun Tong Road Westbound,Middle Lane 4,22,North West,Y,6/3/2025,64.2173913,3.565217391,656,,No
Kwun Tong Road Eastbound,Fast Lane,22,South East,Y,6/3/2025,57.29528986,5.561594203,2395,,No
Kwun Tong Road Eastbound,Middle Lane,22,South East,Y,6/3/2025,45.38405797,6.492753623,816,,Yes
Kwun Tong Road Eastbound,Slow Lane,22,South East,Y,6/3/2025,48.71014493,3.436594203,1625,,Yes
Kwun Tong Road Eastbound,Middle Lane 1,22,South East,Y,6/3/2025,51.57971014,3.434782609,709,,No
Kwun Tong Road Eastbound,Middle Lane 2,22,South East,Y,6/3/2025,55.37318841,6.757246377,1520,,No
Kwun Tong Road Eastbound,Fast Lane,22,South,Y,6/3/2025,62.52717391,5.190217391,1465,,No
Kwun Tong Road Eastbound,Middle Lane,22,South,Y,6/3/2025,60.08695652,2.793478261,506,,No
Kwun Tong Road Eastbound,Slow Lane,22,South,Y,6/3/2025,57.98913043,1.288043478,129,,No
New Clear Water Bay Road Eastbound,Fast Lane,22,East,Y,6/3/2025,68.29347826,2.201086957,363,,No
New Clear Water Bay Road Eastbound,Middle Lane,22,East,Y,6/3/2025,58.97826087,3.630434783,256,,No
New Clear Water Bay Road Eastbound,Slow Lane,22,East,Y,6/3/2025,66.29891304,1.907608696,241,,No
New Clear Water Bay Road Eastbound,Fast Lane,22,North West,Y,6/3/2025,55.86956522,1.445652174,89,,No
New Clear Water Bay Road Eastbound,Slow Lane,22,North West,Y,6/3/2025,47.56521739,4.684782609,212,,Yes
New Clear Water Bay Road Eastbound,Fast Lane,22,South East,Y,6/3/2025,66.75675676,3.905405405,221,,No
New Clear Water Bay Road Eastbound,Middle Lane,22,South East,Y,6/3/2025,66.51351351,3.351351351,204,,No
New Clear Water Bay Road Eastbound,Slow Lane,22,South East,Y,6/3/2025,39.7972973,41.7972973,34,,Yes
New Clear Water Bay Road Westbound,Fast Lane,22,South,Y,6/3/2025,60.51086957,3.413043478,168,,No
New Clear Water Bay Road Westbound,Fast Lane,22,North West,Y,6/3/2025,54.26086957,3.304347826,186,,No
New Clear Water Bay Road Westbound,Slow Lane,22,North West,Y,6/3/2025,55.08695652,3.47826087,226,,No
New Clear Water Bay Road Westbound,Fast Lane,22,West,Y,6/3/2025,68.29347826,2.641304348,291,,No
New Clear Water Bay Road Westbound,Slow Lane,22,West,Y,6/3/2025,58.25,2.804347826,149,,No
Prince Edward Road Northeastbound,Fast Lane,22,North East,Y,6/3/2025,72.97282609,5.054347826,698,,No
Prince Edward Road Northeastbound,Slow Lane,22,North East,Y,6/3/2025,66.61413043,6.125,715,,No
Prince Edward Road Northeastbound,Middle Lane,22,North East,Y,6/3/2025,77.33695652,4,281,,No
Prince Edward Road Southeastbound,Fast Lane,22,South West,Y,6/3/2025,75.73913043,6.77173913,457,,No
Prince Edward Road Southeastbound,Slow Lane,22,South West,Y,6/3/2025,72.81521739,2.206521739,178,,No
New Clear Water Bay Road Eastbound,Fast Lane,22,South East,N,6/3/2025,65.83333333,7.888888889,76,,No
New Clear Water Bay Road Eastbound,Middle Lane,22,South East,N,6/3/2025,76.66666667,3.611111111,39,,No
New Clear Water Bay Road Eastbound,Slow Lane,22,South East,N,6/3/2025,46.38888889,30.55555556,11,,Yes
Kwun Tong Road Westbound,Fast Lane,23,North West,Y,6/3/2025,57.81111111,1.733333333,1105,,No
Kwun Tong Road Westbound,Middle Lane 1,23,North West,Y,6/3/2025,54.02777778,2.863888889,1147,,No
Kwun Tong Road Westbound,Middle Lane 2,23,North West,Y,6/3/2025,50.43055556,2.027777778,820,,No
Kwun Tong Road Westbound,Slow Lane,23,North West,Y,6/3/2025,54.01111111,1.32,515,,No
Kwun Tong Road Westbound,Fast Lane,23,North,Y,6/3/2025,56.37777778,3.455555556,320,,No
Kwun Tong Road Westbound,Middle Lane,23,North,Y,6/3/2025,60.31111111,2.4,275,,No
Kwun Tong Road Westbound,Slow Lane,23,North,Y,6/3/2025,50.42222222,1.855555556,87,,No
Kwun Tong Road Westbound,Middle Lane 3,23,North West,Y,6/3/2025,64.51111111,1,223,,No
Kwun Tong Road Westbound,Middle Lane 4,23,North West,Y,6/3/2025,65.66666667,2.877777778,535,,No
Kwun Tong Road Eastbound,Fast Lane,23,South East,Y,6/3/2025,57.67222222,2.994444444,1641,,No
Kwun Tong Road Eastbound,Middle Lane,23,South East,Y,6/3/2025,47.48148148,5.611111111,782,,Yes
Kwun Tong Road Eastbound,Slow Lane,23,South East,Y,6/3/2025,51.94444444,2.792592593,1375,,No
Kwun Tong Road Eastbound,Middle Lane 1,23,South East,Y,6/3/2025,53.61851852,3.133333333,644,,No
Kwun Tong Road Eastbound,Middle Lane 2,23,South East,Y,6/3/2025,55.69259259,5.122222222,1137,,No
Kwun Tong Road Eastbound,Fast Lane,23,South,Y,6/3/2025,64.46666667,3.977777778,1065,,No
Kwun Tong Road Eastbound,Middle Lane,23,South,Y,6/3/2025,60.95555556,2.538888889,389,,No
Kwun Tong Road Eastbound,Slow Lane,23,South,Y,6/3/2025,58.61111111,1.2,107,,No
New Clear Water Bay Road Eastbound,Fast Lane,23,East,Y,6/3/2025,67.47159091,1.306818182,185,,No
New Clear Water Bay Road Eastbound,Middle Lane,23,East,Y,6/3/2025,61.83146067,3.853932584,217,,No
New Clear Water Bay Road Eastbound,Slow Lane,23,East,Y,6/3/2025,68.375,1.556818182,146,,No
New Clear Water Bay Road Eastbound,Fast Lane,23,North West,Y,6/3/2025,61.19101124,0.573033708,40,,No
New Clear Water Bay Road Eastbound,Slow Lane,23,North West,Y,6/3/2025,52.84269663,2.483146067,111,,No
New Clear Water Bay Road Eastbound,Fast Lane,23,South East,Y,6/3/2025,66.1011236,1.123595506,88,,No
New Clear Water Bay Road Eastbound,Middle Lane,23,South East,Y,6/3/2025,67.23595506,2.258426966,190,,No
New Clear Water Bay Road Eastbound,Slow Lane,23,South East,Y,6/3/2025,63.93258427,1.404494382,40,,No
New Clear Water Bay Road Westbound,Fast Lane,23,South,Y,6/3/2025,58.87640449,3.325842697,128,,No
New Clear Water Bay Road Westbound,Fast Lane,23,North West,Y,6/3/2025,57.62921348,2.629213483,154,,No
New Clear Water Bay Road Westbound,Slow Lane,23,North West,Y,6/3/2025,53.17977528,2.280898876,157,,No
New Clear Water Bay Road Westbound,Fast Lane,23,West,Y,6/3/2025,68.12921348,2.54494382,236,,No
New Clear Water Bay Road Westbound,Slow Lane,23,West,Y,6/3/2025,59.86516854,1.943820225,102,,No
Prince Edward Road Northeastbound,Fast Lane,23,North East,Y,6/3/2025,73.95505618,3.264044944,487,,No
Prince Edward Road Northeastbound,Slow Lane,23,North East,Y,6/3/2025,69.15730337,4.264044944,501,,No
Prince Edward Road Northeastbound,Middle Lane,23,North East,Y,6/3/2025,79.20224719,3.561797753,248,,No
Prince Edward Road Southeastbound,Fast Lane,23,South West,Y,6/3/2025,77.4494382,5.303370787,341,,No
Prince Edward Road Southeastbound,Slow Lane,23,South West,Y,6/3/2025,71.88764045,1.573033708,143,,No
New Clear Water Bay Road Eastbound,Fast Lane,23,East,N,6/3/2025,70,0,0,,No
New Clear Water Bay Road Eastbound,Slow Lane,23,East,N,6/3/2025,81,1,2,,No
Kwun Tong Road Westbound,Fast Lane,0,North West,Y,6/3/2025,56.7,1.1,18,,No
Kwun Tong Road Westbound,Middle Lane 1,0,North West,Y,6/3/2025,55,3,24,,No
Kwun Tong Road Westbound,Middle Lane 2,0,North West,Y,6/3/2025,47.875,0.375,8,,Yes
Kwun Tong Road Westbound,Slow Lane,0,North West,Y,6/3/2025,52.2,2.3,16,,No
Kwun Tong Road Westbound,Fast Lane,0,North,Y,6/3/2025,55,3.5,8,,No
Kwun Tong Road Westbound,Middle Lane,0,North,Y,6/3/2025,63,1,3,,No
Kwun Tong Road Westbound,Slow Lane,0,North,Y,6/3/2025,52.5,1,1,,No
Kwun Tong Road Westbound,Middle Lane 3,0,North West,Y,6/3/2025,70,0,2,,No
Kwun Tong Road Westbound,Middle Lane 4,0,North West,Y,6/3/2025,66.5,2,10,,No
Kwun Tong Road Eastbound,Fast Lane,0,South East,Y,6/3/2025,59.25,2.583333333,29,,No
Kwun Tong Road Eastbound,Middle Lane,0,South East,Y,6/3/2025,48.83333333,4.833333333,14,,Yes
Kwun Tong Road Eastbound,Slow Lane,0,South East,Y,6/3/2025,52.91666667,1.833333333,27,,No
Kwun Tong Road Eastbound,Middle Lane 1,0,South East,Y,6/3/2025,54.66666667,2.666666667,12,,No
Kwun Tong Road Eastbound,Middle Lane 2,0,South East,Y,6/3/2025,48.83333333,8.666666667,18,,Yes
Kwun Tong Road Eastbound,Fast Lane,0,South,Y,6/3/2025,75,1.5,13,,No
Kwun Tong Road Eastbound,Middle Lane,0,South,Y,6/3/2025,34.25,3.75,3,,Yes
Kwun Tong Road Eastbound,Slow Lane,0,South,Y,6/3/2025,59.75,0.5,2,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,East,Y,6/3/2025,63.25,4,7,,No
New Clear Water Bay Road Eastbound,Middle Lane,0,East,Y,6/3/2025,61,6,5,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,East,Y,6/3/2025,66.75,1.5,2,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,North West,Y,6/3/2025,70,0,0,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,North West,Y,6/3/2025,45,2.5,3,,Yes
New Clear Water Bay Road Eastbound,Fast Lane,0,South East,Y,6/3/2025,70.5,3,4,,No
New Clear Water Bay Road Eastbound,Middle Lane,0,South East,Y,6/3/2025,68.5,3,4,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,South East,Y,6/3/2025,44.5,6,3,,Yes
New Clear Water Bay Road Westbound,Fast Lane,0,South,Y,6/3/2025,65.5,2,3,,No
New Clear Water Bay Road Westbound,Fast Lane,0,North West,Y,6/3/2025,59.5,2,3,,No
New Clear Water Bay Road Westbound,Slow Lane,0,North West,Y,6/3/2025,46.5,1,3,,Yes
New Clear Water Bay Road Westbound,Fast Lane,0,West,Y,6/3/2025,67,3.5,6,,No
New Clear Water Bay Road Westbound,Slow Lane,0,West,Y,6/3/2025,46,4.5,3,,Yes
Prince Edward Road Northeastbound,Fast Lane,0,North East,Y,6/3/2025,68.25,4.25,13,,No
Prince Edward Road Northeastbound,Slow Lane,0,North East,Y,6/3/2025,74.75,3.25,8,,No
Prince Edward Road Northeastbound,Middle Lane,0,North East,Y,6/3/2025,76.5,2.5,5,,No
Prince Edward Road Southeastbound,Fast Lane,0,South West,Y,6/3/2025,69,5.5,8,,No
Prince Edward Road Southeastbound,Slow Lane,0,South West,Y,6/3/2025,70,1,1,,No
Kwun Tong Road Westbound,Fast Lane,0,North West,Y,7/3/2025,57.58333333,1.366666667,850,,No
Kwun Tong Road Westbound,Middle Lane 1,0,North West,Y,7/3/2025,52.48177083,2.158854167,963,,No
Kwun Tong Road Westbound,Middle Lane 2,0,North West,Y,7/3/2025,50.0078125,1.546875,626,,No
Kwun Tong Road Westbound,Slow Lane,0,North West,Y,7/3/2025,54.6375,0.958333333,443,,No
Kwun Tong Road Westbound,Fast Lane,0,North,Y,7/3/2025,60.89583333,3.21875,282,,No
Kwun Tong Road Westbound,Middle Lane,0,North,Y,7/3/2025,58.9375,2.666666667,265,,No
Kwun Tong Road Westbound,Slow Lane,0,North,Y,7/3/2025,59.46875,0.958333333,64,,No
Kwun Tong Road Westbound,Middle Lane 3,0,North West,Y,7/3/2025,69.63541667,0.770833333,175,,No
Kwun Tong Road Westbound,Middle Lane 4,0,North West,Y,7/3/2025,66.64583333,2.729166667,515,,No
Kwun Tong Road Eastbound,Fast Lane,0,South East,Y,7/3/2025,57.96527778,1.958333333,1231,,No
Kwun Tong Road Eastbound,Middle Lane,0,South East,Y,7/3/2025,48.55902778,3.697916667,724,,Yes
Kwun Tong Road Eastbound,Slow Lane,0,South East,Y,7/3/2025,54.86979167,1.833333333,1131,,No
Kwun Tong Road Eastbound,Middle Lane 1,0,South East,Y,7/3/2025,56.82291667,1.645833333,432,,No
Kwun Tong Road Eastbound,Middle Lane 2,0,South East,Y,7/3/2025,59.61805556,6.708333333,1116,,No
Kwun Tong Road Eastbound,Fast Lane,0,South,Y,7/3/2025,65.43229167,3.489583333,921,,No
Kwun Tong Road Eastbound,Middle Lane,0,South,Y,7/3/2025,61.640625,1.927083333,371,,No
Kwun Tong Road Eastbound,Slow Lane,0,South,Y,7/3/2025,59.65625,1.026041667,89,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,East,Y,7/3/2025,69.34895833,0.796875,127,,No
New Clear Water Bay Road Eastbound,Middle Lane,0,East,Y,7/3/2025,63.19791667,2.760416667,184,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,East,Y,7/3/2025,68.46354167,0.692708333,83,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,North West,Y,7/3/2025,65.03125,0.34375,31,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,North West,Y,7/3/2025,57.86458333,1.333333333,71,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,South East,Y,7/3/2025,73.14583333,1.770833333,117,,No
New Clear Water Bay Road Eastbound,Middle Lane,0,South East,Y,7/3/2025,73.46875,1.71875,168,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,South East,Y,7/3/2025,64.875,1.90625,21,,No
New Clear Water Bay Road Westbound,Fast Lane,0,South,Y,7/3/2025,57.34375,2.15625,99,,No
New Clear Water Bay Road Westbound,Fast Lane,0,North West,Y,7/3/2025,53.40625,1.0625,73,,No
New Clear Water Bay Road Westbound,Slow Lane,0,North West,Y,7/3/2025,55.09375,1.229166667,118,,No
New Clear Water Bay Road Westbound,Fast Lane,0,West,Y,7/3/2025,69.80208333,1.317708333,154,,No
New Clear Water Bay Road Westbound,Slow Lane,0,West,Y,7/3/2025,62.01041667,1.270833333,77,,No
Prince Edward Road Northeastbound,Fast Lane,0,North East,Y,7/3/2025,74.19270833,1.880208333,327,,No
Prince Edward Road Northeastbound,Slow Lane,0,North East,Y,7/3/2025,69.63541667,3.296875,428,,No
Prince Edward Road Northeastbound,Middle Lane,0,North East,Y,7/3/2025,80.04166667,2.979166667,231,,No
Prince Edward Road Southeastbound,Fast Lane,0,South West,Y,7/3/2025,81.08888889,2.977777778,232,,No
Prince Edward Road Southeastbound,Slow Lane,0,South West,Y,7/3/2025,73.5,0.633333333,75,,No
Prince Edward Road Southeastbound,Fast Lane,0,South West,N,7/3/2025,80.33333333,2.166666667,13,,No
Prince Edward Road Southeastbound,Slow Lane,0,South West,N,7/3/2025,81.33333333,0.5,4,,No
Kwun Tong Road Westbound,Fast Lane,1,North West,Y,7/3/2025,57.92982456,0.927631579,574,,No
Kwun Tong Road Westbound,Middle Lane 1,1,North West,Y,7/3/2025,52.55494505,1.480769231,652,,No
Kwun Tong Road Westbound,Middle Lane 2,1,North West,Y,7/3/2025,51.39835165,1.076923077,453,,No
