Road,Lane,Hour,Direction,Valid,Date,Average_Speed,Average_Occupancy,Total_Volume
Kwun Tong Road Westbound,Slow Lane,05,North West,Y,2025-03-07,56.67881548974943,0.6742596810933941,289
Kwun Tong Road Westbound,Fast Lane,05,North,Y,2025-03-07,61.60377358490566,2.6132075471698113,261
Kwun Tong Road Westbound,Middle Lane,05,North,Y,2025-03-07,64.83018867924528,0.7547169811320755,136
Kwun Tong Road Westbound,Slow Lane,05,North,Y,2025-03-07,61.367924528301884,1.0188679245283019,49
Kwun Tong Road Westbound,Middle Lane 3,05,North West,Y,2025-03-07,69.66981132075472,0.7264150943396226,121
Kwun Tong Road Westbound,Middle Lane 4,05,North West,Y,2025-03-07,69.30188679245283,2.188679245283019,391
Kwun Tong Road Eastbound,Fast Lane,05,South East,Y,2025-03-07,61.19426751592356,1.0971337579617835,839
Kwun Tong Road Eastbound,Middle Lane,05,South East,Y,2025-03-07,56.9,1.2580645161290323,452
Kwun Tong Road Eastbound,Slow Lane,05,South East,Y,2025-03-07,57.39808917197452,0.7436305732484076,662
Kwun Tong Road Eastbound,Middle Lane 1,05,South East,Y,2025-03-07,58.35220125786164,0.7861635220125787,273
Kwun Tong Road Eastbound,Middle Lane 2,05,South East,Y,2025-03-07,63.0125786163522,2.452830188679245,671
Kwun Tong Road Eastbound,Fast Lane,05,South,Y,2025-03-07,67.03301886792453,1.8679245283018868,557
Kwun Tong Road Eastbound,Middle Lane,05,South,Y,2025-03-07,64.58962264150944,0.9150943396226415,271
Kwun Tong Road Eastbound,Slow Lane,05,South,Y,2025-03-07,59.448113207547166,0.28773584905660377,47
New Clear Water Bay Road Eastbound,Fast Lane,05,East,Y,2025-03-07,68.92924528301887,0.4858490566037736,76
New Clear Water Bay Road Eastbound,Middle Lane,05,East,Y,2025-03-07,60.5,2.2547169811320753,141
New Clear Water Bay Road Eastbound,Slow Lane,05,East,Y,2025-03-07,69.26415094339623,0.8207547169811321,55
New Clear Water Bay Road Eastbound,Fast Lane,05,North West,Y,2025-03-07,67.83018867924528,0.12264150943396226,9
New Clear Water Bay Road Eastbound,Slow Lane,05,North West,Y,2025-03-07,63.235849056603776,0.660377358490566,39
New Clear Water Bay Road Eastbound,Fast Lane,05,South East,Y,2025-03-07,68.83962264150944,1.0566037735849056,63
New Clear Water Bay Road Eastbound,Middle Lane,05,South East,Y,2025-03-07,71.62264150943396,1.2830188679245282,114
New Clear Water Bay Road Eastbound,Slow Lane,05,South East,Y,2025-03-07,69.58490566037736,0.33962264150943394,15
New Clear Water Bay Road Westbound,Fast Lane,05,South,Y,2025-03-07,58.64150943396226,1.5754716981132075,97
New Clear Water Bay Road Westbound,Fast Lane,05,North West,Y,2025-03-07,55.37735849056604,1.9150943396226414,123
New Clear Water Bay Road Westbound,Slow Lane,05,North West,Y,2025-03-07,55.528301886792455,1.8396226415094339,123
New Clear Water Bay Road Westbound,Fast Lane,05,West,Y,2025-03-07,71.06603773584905,1.0613207547169812,159
New Clear Water Bay Road Westbound,Slow Lane,05,West,Y,2025-03-07,64.30188679245283,1.0754716981132075,74
Prince Edward Road Northeastbound,Fast Lane,05,North East,Y,2025-03-07,74.86792452830188,0.7971698113207547,159
Prince Edward Road Northeastbound,Slow Lane,05,North East,Y,2025-03-07,69.44339622641509,1.5566037735849056,220
Prince Edward Road Northeastbound,Middle Lane,05,North East,Y,2025-03-07,79.51886792452831,1.4056603773584906,120
Prince Edward Road Southeastbound,Fast Lane,05,South West,Y,2025-03-07,79.65094339622641,2.330188679245283,166
Prince Edward Road Southeastbound,Slow Lane,05,South West,Y,2025-03-07,70.56603773584905,0.6415094339622641,53
Kwun Tong Road Westbound,Fast Lane,05,North West,N,2025-03-07,59.73626373626374,0.9120879120879121,93
Kwun Tong Road Westbound,Middle Lane 1,05,North West,N,2025-03-07,44.27472527472528,1.1868131868131868,138
Kwun Tong Road Westbound,Middle Lane 2,05,North West,N,2025-03-07,47.956043956043956,1.8131868131868132,157
Kwun Tong Road Westbound,Slow Lane,05,North West,N,2025-03-07,44.45054945054945,1.3626373626373627,52
Kwun Tong Road Westbound,Fast Lane,06,North West,N,2025-03-07,59.78378378378378,2.5675675675675675,83
Kwun Tong Road Westbound,Middle Lane 1,06,North West,N,2025-03-07,43.62162162162162,2.054054054054054,68
Kwun Tong Road Westbound,Middle Lane 2,06,North West,N,2025-03-07,42.08108108108108,5.216216216216216,105
Kwun Tong Road Westbound,Slow Lane,06,North West,N,2025-03-07,46.513513513513516,1.7567567567567568,27
Kwun Tong Road Westbound,Fast Lane,06,North West,Y,2025-03-07,57.52963671128107,2.9980879541108987,1880
Kwun Tong Road Westbound,Middle Lane 1,06,North West,Y,2025-03-07,55.961070559610704,2.7445255474452557,1019
Kwun Tong Road Westbound,Middle Lane 2,06,North West,Y,2025-03-07,54.97810218978102,2.980535279805353,1098
Kwun Tong Road Westbound,Slow Lane,06,North West,Y,2025-03-07,52.30019120458891,2.063097514340344,581
Kwun Tong Road Westbound,Fast Lane,06,North,Y,2025-03-07,64.66964285714286,5.821428571428571,571
Kwun Tong Road Westbound,Middle Lane,06,North,Y,2025-03-07,64.44642857142857,3.2589285714285716,340
Kwun Tong Road Westbound,Slow Lane,06,North,Y,2025-03-07,49.982142857142854,3.0982142857142856,115
Kwun Tong Road Westbound,Middle Lane 3,06,North West,Y,2025-03-07,65.17857142857143,1.9910714285714286,237
Kwun Tong Road Westbound,Middle Lane 4,06,North West,Y,2025-03-07,64.33035714285714,3.982142857142857,590
Kwun Tong Road Eastbound,Fast Lane,06,South East,Y,2025-03-07,60.34970238095238,3.3363095238095237,2217
Kwun Tong Road Eastbound,Middle Lane,06,South East,Y,2025-03-07,51.63095238095238,3.5208333333333335,820
Kwun Tong Road Eastbound,Slow Lane,06,South East,Y,2025-03-07,53.73363095238095,2.9761904761904763,1313
Kwun Tong Road Eastbound,Middle Lane 1,06,South East,Y,2025-03-07,56.07738095238095,2.892857142857143,610
Kwun Tong Road Eastbound,Middle Lane 2,06,South East,Y,2025-03-07,58.3125,5.488095238095238,1123
Kwun Tong Road Eastbound,Fast Lane,06,South,Y,2025-03-07,65.43303571428571,5.049107142857143,1186
Kwun Tong Road Eastbound,Middle Lane,06,South,Y,2025-03-07,57.299107142857146,3.3526785714285716,423
Kwun Tong Road Eastbound,Slow Lane,06,South,Y,2025-03-07,54.901785714285715,2.5,147
New Clear Water Bay Road Eastbound,Fast Lane,06,East,Y,2025-03-07,66.9590909090909,1.7636363636363637,225
New Clear Water Bay Road Eastbound,Middle Lane,06,East,Y,2025-03-07,56.96363636363636,4.990909090909091,213
New Clear Water Bay Road Eastbound,Slow Lane,06,East,Y,2025-03-07,67.2,1.9863636363636363,142
New Clear Water Bay Road Eastbound,Fast Lane,06,North West,Y,2025-03-07,61.663636363636364,1.2636363636363637,62
New Clear Water Bay Road Eastbound,Slow Lane,06,North West,Y,2025-03-07,55.68181818181818,2.581818181818182,116
New Clear Water Bay Road Eastbound,Fast Lane,06,South East,Y,2025-03-07,69.9090909090909,3.6272727272727274,204
New Clear Water Bay Road Eastbound,Middle Lane,06,South East,Y,2025-03-07,66.16363636363636,3.1545454545454548,208
New Clear Water Bay Road Eastbound,Slow Lane,06,South East,Y,2025-03-07,48.554545454545455,39.79090909090909,47
New Clear Water Bay Road Westbound,Fast Lane,06,South,Y,2025-03-07,58.50909090909091,6.218181818181818,274
New Clear Water Bay Road Westbound,Fast Lane,06,North West,Y,2025-03-07,56.40909090909091,7.672727272727273,440
New Clear Water Bay Road Westbound,Slow Lane,06,North West,Y,2025-03-07,55.91818181818182,4.672727272727273,280
New Clear Water Bay Road Westbound,Fast Lane,06,West,Y,2025-03-07,67.98181818181818,4.122727272727273,514
New Clear Water Bay Road Westbound,Slow Lane,06,West,Y,2025-03-07,57.872727272727275,3.2,189
Prince Edward Road Northeastbound,Fast Lane,06,North East,Y,2025-03-07,75.25454545454545,2.3,359
Prince Edward Road Northeastbound,Slow Lane,06,North East,Y,2025-03-07,68.86363636363636,3.440909090909091,430
Prince Edward Road Northeastbound,Middle Lane,06,North East,Y,2025-03-07,77.91818181818182,3.0272727272727273,212
Prince Edward Road Southeastbound,Fast Lane,06,South West,Y,2025-03-07,78.02727272727273,4.536363636363636,341
Prince Edward Road Southeastbound,Slow Lane,06,South West,Y,2025-03-07,77.66363636363636,1.2545454545454546,132
Kwun Tong Road Westbound,Fast Lane,07,North West,Y,2025-03-07,49.93033707865168,8.467415730337079,3268
Kwun Tong Road Westbound,Middle Lane 1,07,North West,Y,2025-03-07,52.64957264957265,5.555555555555555,1710
Kwun Tong Road Westbound,Middle Lane 2,07,North West,Y,2025-03-07,53.00569800569801,5.8091168091168095,1741
Kwun Tong Road Westbound,Slow Lane,07,North West,Y,2025-03-07,48.73033707865169,3.7887640449438202,934
Kwun Tong Road Westbound,Fast Lane,07,North,Y,2025-03-07,65.53191489361703,9.606382978723405,940
Kwun Tong Road Westbound,Middle Lane,07,North,Y,2025-03-07,66.0,7.319148936170213,622
Kwun Tong Road Westbound,Slow Lane,07,North,Y,2025-03-07,49.57446808510638,3.3617021276595747,105
Kwun Tong Road Westbound,Middle Lane 3,07,North West,Y,2025-03-07,59.36231884057971,3.0869565217391304,209
Kwun Tong Road Westbound,Middle Lane 4,07,North West,Y,2025-03-07,56.85507246376812,8.434782608695652,652
Kwun Tong Road Eastbound,Fast Lane,07,South East,Y,2025-03-07,55.847517730496456,9.53368794326241,4565
Kwun Tong Road Eastbound,Middle Lane,07,South East,Y,2025-03-07,50.42553191489362,5.904255319148936,1334
Kwun Tong Road Eastbound,Slow Lane,07,South East,Y,2025-03-07,48.195035460992905,5.796099290780142,1893
Kwun Tong Road Eastbound,Middle Lane 1,07,South East,Y,2025-03-07,52.51418439716312,5.0212765957446805,766
Kwun Tong Road Eastbound,Middle Lane 2,07,South East,Y,2025-03-07,54.673758865248224,7.702127659574468,1498
Kwun Tong Road Eastbound,Fast Lane,07,South,Y,2025-03-07,60.1436170212766,10.425531914893616,2055
Kwun Tong Road Eastbound,Middle Lane,07,South,Y,2025-03-07,53.734042553191486,6.212765957446808,690
Kwun Tong Road Eastbound,Slow Lane,07,South,Y,2025-03-07,47.765957446808514,3.5904255319148937,193
New Clear Water Bay Road Eastbound,Fast Lane,07,East,Y,2025-03-07,65.96236559139786,5.693548387096774,628
New Clear Water Bay Road Eastbound,Middle Lane,07,East,Y,2025-03-07,60.276595744680854,8.563829787234043,334
New Clear Water Bay Road Eastbound,Slow Lane,07,East,Y,2025-03-07,67.29032258064517,4.096774193548387,338
New Clear Water Bay Road Eastbound,Fast Lane,07,North West,Y,2025-03-07,51.340425531914896,4.659574468085107,187
New Clear Water Bay Road Eastbound,Slow Lane,07,North West,Y,2025-03-07,52.170212765957444,5.787234042553192,248
New Clear Water Bay Road Eastbound,Fast Lane,07,South East,Y,2025-03-07,68.5,11.691489361702128,502
New Clear Water Bay Road Eastbound,Middle Lane,07,South East,Y,2025-03-07,67.23404255319149,8.202127659574469,340
New Clear Water Bay Road Eastbound,Slow Lane,07,South East,Y,2025-03-07,53.04255319148936,10.202127659574469,50
New Clear Water Bay Road Westbound,Fast Lane,07,South,Y,2025-03-07,41.56382978723404,37.308510638297875,775
New Clear Water Bay Road Westbound,Fast Lane,07,North West,Y,2025-03-07,48.265957446808514,21.819148936170212,766
New Clear Water Bay Road Westbound,Slow Lane,07,North West,Y,2025-03-07,49.54255319148936,13.712765957446809,460
New Clear Water Bay Road Westbound,Fast Lane,07,West,Y,2025-03-07,51.3031914893617,18.925531914893618,1191
New Clear Water Bay Road Westbound,Slow Lane,07,West,Y,2025-03-07,50.180851063829785,12.946808510638299,484
Prince Edward Road Northeastbound,Fast Lane,07,North East,Y,2025-03-07,75.18617021276596,6.99468085106383,825
Prince Edward Road Northeastbound,Slow Lane,07,North East,Y,2025-03-07,73.03191489361703,6.329787234042553,686
Prince Edward Road Northeastbound,Middle Lane,07,North East,Y,2025-03-07,80.35106382978724,5.617021276595745,325
Prince Edward Road Southeastbound,Fast Lane,07,South West,Y,2025-03-07,51.40425531914894,29.69148936170213,756
Prince Edward Road Southeastbound,Slow Lane,07,South West,Y,2025-03-07,69.30851063829788,10.042553191489361,411
New Clear Water Bay Road Eastbound,Fast Lane,07,East,N,2025-03-07,64.0,2.0,6
New Clear Water Bay Road Eastbound,Slow Lane,07,East,N,2025-03-07,73.0,4.0,7
Kwun Tong Road Westbound,Fast Lane,08,North West,Y,2025-03-07,48.744680851063826,7.752659574468085,2500
Kwun Tong Road Westbound,Middle Lane 1,08,North West,Y,2025-03-07,48.645390070921984,7.418439716312057,1470
Kwun Tong Road Westbound,Middle Lane 2,08,North West,Y,2025-03-07,52.851063829787236,7.535460992907802,1652
Kwun Tong Road Westbound,Slow Lane,08,North West,Y,2025-03-07,49.12765957446808,4.079787234042553,811
Kwun Tong Road Westbound,Fast Lane,08,North,Y,2025-03-07,64.32978723404256,9.787234042553191,924
Kwun Tong Road Westbound,Middle Lane,08,North,Y,2025-03-07,66.47872340425532,7.872340425531915,687
Kwun Tong Road Westbound,Slow Lane,08,North,Y,2025-03-07,50.191489361702125,3.5851063829787235,123
Kwun Tong Road Eastbound,Fast Lane,08,South East,Y,2025-03-07,44.355555555555554,14.78989898989899,4399
Kwun Tong Road Eastbound,Middle Lane,08,South East,Y,2025-03-07,39.929577464788736,9.765258215962442,852
Kwun Tong Road Eastbound,Slow Lane,08,South East,Y,2025-03-07,43.47878787878788,6.961616161616162,1140
Kwun Tong Road Eastbound,Middle Lane 1,08,South East,Y,2025-03-07,44.5709219858156,9.393617021276595,724
Kwun Tong Road Eastbound,Middle Lane 2,08,South East,Y,2025-03-07,45.829787234042556,10.099290780141844,1194
Kwun Tong Road Eastbound,Fast Lane,08,South,Y,2025-03-07,52.84574468085106,15.345744680851064,2256
Kwun Tong Road Eastbound,Middle Lane,08,South,Y,2025-03-07,47.91489361702128,8.21808510638298,602
Kwun Tong Road Eastbound,Slow Lane,08,South,Y,2025-03-07,45.71808510638298,6.1063829787234045,220
New Clear Water Bay Road Eastbound,Fast Lane,08,East,Y,2025-03-07,67.60106382978724,6.23404255319149,682
New Clear Water Bay Road Eastbound,Middle Lane,08,East,Y,2025-03-07,58.787234042553195,9.095744680851064,324
New Clear Water Bay Road Eastbound,Slow Lane,08,East,Y,2025-03-07,67.74468085106383,5.48936170212766,403
New Clear Water Bay Road Eastbound,Fast Lane,08,North West,Y,2025-03-07,49.09574468085106,5.23404255319149,201
New Clear Water Bay Road Eastbound,Slow Lane,08,North West,Y,2025-03-07,48.37234042553192,7.861702127659575,304
New Clear Water Bay Road Eastbound,Fast Lane,08,South East,Y,2025-03-07,66.56976744186046,12.965116279069768,484
New Clear Water Bay Road Eastbound,Middle Lane,08,South East,Y,2025-03-07,64.43023255813954,10.232558139534884,331
New Clear Water Bay Road Eastbound,Slow Lane,08,South East,Y,2025-03-07,57.093023255813954,5.837209302325581,90
New Clear Water Bay Road Westbound,Fast Lane,08,South,Y,2025-03-07,56.56382978723404,17.648936170212767,589
New Clear Water Bay Road Westbound,Fast Lane,08,North West,Y,2025-03-07,58.765957446808514,12.01063829787234,641
New Clear Water Bay Road Westbound,Slow Lane,08,North West,Y,2025-03-07,57.07446808510638,8.180851063829786,409
New Clear Water Bay Road Westbound,Fast Lane,08,West,Y,2025-03-07,62.234042553191486,10.851063829787234,1025
New Clear Water Bay Road Westbound,Slow Lane,08,West,Y,2025-03-07,50.670212765957444,11.829787234042554,471
Prince Edward Road Northeastbound,Fast Lane,08,North East,Y,2025-03-07,74.47872340425532,8.888297872340425,1041
Prince Edward Road Northeastbound,Slow Lane,08,North East,Y,2025-03-07,70.73404255319149,7.223404255319149,773
Prince Edward Road Northeastbound,Middle Lane,08,North East,Y,2025-03-07,82.03191489361703,6.531914893617022,378
Prince Edward Road Southeastbound,Fast Lane,08,South West,Y,2025-03-07,52.40425531914894,30.53191489361702,860
Prince Edward Road Southeastbound,Slow Lane,08,South West,Y,2025-03-07,74.85106382978724,8.22340425531915,421
New Clear Water Bay Road Eastbound,Fast Lane,08,South East,N,2025-03-07,68.75,13.75,42
New Clear Water Bay Road Eastbound,Middle Lane,08,South East,N,2025-03-07,71.125,5.5,22
New Clear Water Bay Road Eastbound,Slow Lane,08,South East,N,2025-03-07,55.0,2.5,7
Kwun Tong Road Westbound,Fast Lane,08,North West,Y,2025-03-07,47.09375,9.09375,201
Kwun Tong Road Westbound,Middle Lane 1,08,North West,Y,2025-03-07,46.458333333333336,6.583333333333333,98
Kwun Tong Road Westbound,Middle Lane 2,08,North West,Y,2025-03-07,52.0,8.083333333333334,130
Kwun Tong Road Westbound,Slow Lane,08,North West,Y,2025-03-07,48.0,2.1875,53
Kwun Tong Road Westbound,Fast Lane,08,North,Y,2025-03-07,55.0,12.625,72
Kwun Tong Road Westbound,Middle Lane,08,North,Y,2025-03-07,64.875,8.25,59
Kwun Tong Road Westbound,Slow Lane,08,North,Y,2025-03-07,47.375,3.625,11
Kwun Tong Road Eastbound,Fast Lane,08,South East,Y,2025-03-07,37.175,18.45,339
Kwun Tong Road Eastbound,Middle Lane 1,08,South East,Y,2025-03-07,42.666666666666664,11.291666666666666,61
Kwun Tong Road Eastbound,Middle Lane 2,08,South East,Y,2025-03-07,41.666666666666664,10.125,108
Kwun Tong Road Eastbound,Slow Lane,08,South East,Y,2025-03-07,42.85,6.875,70
Kwun Tong Road Eastbound,Fast Lane,08,South,Y,2025-03-07,43.3125,20.4375,174
Kwun Tong Road Eastbound,Middle Lane,08,South,Y,2025-03-07,53.0625,6.25,56
Kwun Tong Road Eastbound,Slow Lane,08,South,Y,2025-03-07,38.125,12.8125,25
Kwun Tong Road Eastbound,Middle Lane,08,South East,Y,2025-03-07,34.625,9.75,64
New Clear Water Bay Road Eastbound,Fast Lane,08,East,Y,2025-03-07,72.875,5.6875,51
New Clear Water Bay Road Eastbound,Middle Lane,08,East,Y,2025-03-07,55.0,10.0,30
New Clear Water Bay Road Eastbound,Slow Lane,08,East,Y,2025-03-07,67.4375,6.8125,34
New Clear Water Bay Road Eastbound,Fast Lane,08,North West,Y,2025-03-07,42.875,1.875,9
New Clear Water Bay Road Eastbound,Slow Lane,08,North West,Y,2025-03-07,44.0,7.25,23
New Clear Water Bay Road Eastbound,Fast Lane,08,South East,Y,2025-03-07,62.25,11.625,29
New Clear Water Bay Road Eastbound,Middle Lane,08,South East,Y,2025-03-07,71.75,9.125,34
New Clear Water Bay Road Eastbound,Slow Lane,08,South East,Y,2025-03-07,59.5,1.625,4
New Clear Water Bay Road Westbound,Fast Lane,08,South,Y,2025-03-07,59.375,11.875,43
New Clear Water Bay Road Westbound,Fast Lane,08,North West,Y,2025-03-07,54.375,9.375,49
New Clear Water Bay Road Westbound,Slow Lane,08,North West,Y,2025-03-07,61.875,7.625,33
New Clear Water Bay Road Westbound,Fast Lane,08,West,Y,2025-03-07,51.25,11.75,82
New Clear Water Bay Road Westbound,Slow Lane,08,West,Y,2025-03-07,47.0,11.375,31
Prince Edward Road Northeastbound,Fast Lane,08,North East,Y,2025-03-07,71.1875,7.0,76
Prince Edward Road Northeastbound,Slow Lane,08,North East,Y,2025-03-07,66.3125,5.5625,57
Prince Edward Road Northeastbound,Middle Lane,08,North East,Y,2025-03-07,80.5,5.125,27
Prince Edward Road Southeastbound,Fast Lane,08,South West,Y,2025-03-07,27.0,48.0,47
Prince Edward Road Southeastbound,Slow Lane,08,South West,Y,2025-03-07,60.75,9.75,45
Kwun Tong Road Westbound,Fast Lane,09,North West,Y,2025-03-07,44.858942065491185,9.403022670025189,2346
Kwun Tong Road Westbound,Middle Lane 1,09,North West,Y,2025-03-07,43.9057239057239,7.397306397306397,1242
Kwun Tong Road Westbound,Middle Lane 2,09,North West,Y,2025-03-07,47.10437710437711,7.168350168350169,1448
Kwun Tong Road Westbound,Slow Lane,09,North West,Y,2025-03-07,48.813602015113354,2.6347607052896724,544
Kwun Tong Road Westbound,Fast Lane,09,North,Y,2025-03-07,58.23,11.64,936
Kwun Tong Road Westbound,Middle Lane,09,North,Y,2025-03-07,58.95,9.24,698
Kwun Tong Road Westbound,Slow Lane,09,North,Y,2025-03-07,45.65,4.46,166
Kwun Tong Road Eastbound,Fast Lane,09,South East,Y,2025-03-07,42.02016806722689,17.210084033613445,5082
Kwun Tong Road Eastbound,Middle Lane 1,09,South East,Y,2025-03-07,43.48,9.65,818
Kwun Tong Road Eastbound,Middle Lane 2,09,South East,Y,2025-03-07,43.266666666666666,10.03,1168
Kwun Tong Road Eastbound,Slow Lane,09,South East,Y,2025-03-07,43.989915966386555,7.421848739495799,1834
Kwun Tong Road Eastbound,Fast Lane,09,South,Y,2025-03-07,33.03,24.37,1762
Kwun Tong Road Eastbound,Middle Lane,09,South,Y,2025-03-07,40.965,9.29,910
Kwun Tong Road Eastbound,Slow Lane,09,South,Y,2025-03-07,44.675,5.725,291
Kwun Tong Road Eastbound,Middle Lane,09,South East,Y,2025-03-07,40.19322033898305,10.579661016949153,1651
New Clear Water Bay Road Eastbound,Fast Lane,09,East,Y,2025-03-07,64.055,5.045,578
New Clear Water Bay Road Eastbound,Middle Lane,09,East,Y,2025-03-07,57.03,8.58,335
New Clear Water Bay Road Eastbound,Slow Lane,09,East,Y,2025-03-07,67.545,4.315,334
New Clear Water Bay Road Eastbound,Fast Lane,09,North West,Y,2025-03-07,51.98,3.2,155
New Clear Water Bay Road Eastbound,Slow Lane,09,North West,Y,2025-03-07,46.88,6.34,254
New Clear Water Bay Road Eastbound,Fast Lane,09,South East,Y,2025-03-07,65.55434782608695,10.141304347826088,418
New Clear Water Bay Road Eastbound,Middle Lane,09,South East,Y,2025-03-07,68.53260869565217,8.021739130434783,338
New Clear Water Bay Road Eastbound,Slow Lane,09,South East,Y,2025-03-07,59.358695652173914,2.9239130434782608,79
New Clear Water Bay Road Westbound,Fast Lane,09,South,Y,2025-03-07,57.37,13.7,514
New Clear Water Bay Road Westbound,Fast Lane,09,North West,Y,2025-03-07,55.38,10.56,559
New Clear Water Bay Road Westbound,Slow Lane,09,North West,Y,2025-03-07,57.2,7.23,367
New Clear Water Bay Road Westbound,Fast Lane,09,West,Y,2025-03-07,64.4,8.69,947
New Clear Water Bay Road Westbound,Slow Lane,09,West,Y,2025-03-07,53.86,8.69,418
Prince Edward Road Northeastbound,Fast Lane,09,North East,Y,2025-03-07,72.745,8.065,989
Prince Edward Road Northeastbound,Slow Lane,09,North East,Y,2025-03-07,68.17,6.91,725
Prince Edward Road Northeastbound,Middle Lane,09,North East,Y,2025-03-07,79.03,6.32,349
Prince Edward Road Southeastbound,Fast Lane,09,South West,Y,2025-03-07,72.45,13.39,843
Prince Edward Road Southeastbound,Slow Lane,09,South West,Y,2025-03-07,76.89,3.6,234
New Clear Water Bay Road Eastbound,Fast Lane,09,South East,N,2025-03-07,64.5,10.875,32
New Clear Water Bay Road Eastbound,Middle Lane,09,South East,N,2025-03-07,74.75,5.75,21
New Clear Water Bay Road Eastbound,Slow Lane,09,South East,N,2025-03-07,55.25,11.375,3
Kwun Tong Road Westbound,Middle Lane 3,09,North West,Y,2025-03-07,50.333333333333336,4.0,14
Kwun Tong Road Westbound,Middle Lane 4,09,North West,Y,2025-03-07,41.0,14.666666666666666,37
Kwun Tong Road Westbound,Fast Lane,10,North West,Y,2025-03-07,48.62978723404255,7.8872340425531915,3068
Kwun Tong Road Westbound,Middle Lane 1,10,North West,Y,2025-03-07,47.223404255319146,7.191489361702128,1854
Kwun Tong Road Westbound,Middle Lane 2,10,North West,Y,2025-03-07,51.5186170212766,5.555851063829787,1610
Kwun Tong Road Westbound,Slow Lane,10,North West,Y,2025-03-07,48.42978723404255,3.6042553191489364,976
Kwun Tong Road Westbound,Fast Lane,10,North,Y,2025-03-07,57.159574468085104,12.75531914893617,876
Kwun Tong Road Westbound,Middle Lane,10,North,Y,2025-03-07,60.297872340425535,8.851063829787234,622
Kwun Tong Road Westbound,Slow Lane,10,North,Y,2025-03-07,48.5531914893617,3.6702127659574466,134
Kwun Tong Road Westbound,Middle Lane 3,10,North West,Y,2025-03-07,51.40425531914894,4.702127659574468,498
Kwun Tong Road Westbound,Middle Lane 4,10,North West,Y,2025-03-07,48.92553191489362,10.53191489361702,900
Kwun Tong Road Eastbound,Fast Lane,10,South East,Y,2025-03-07,46.8031914893617,13.936170212765957,4620
Kwun Tong Road Eastbound,Middle Lane,10,South East,Y,2025-03-07,41.86524822695036,9.840425531914894,1536
Kwun Tong Road Eastbound,Slow Lane,10,South East,Y,2025-03-07,45.6258865248227,6.920212765957447,1739
Kwun Tong Road Eastbound,Middle Lane 1,10,South East,Y,2025-03-07,49.96099290780142,6.75177304964539,1043
Kwun Tong Road Eastbound,Middle Lane 2,10,South East,Y,2025-03-07,50.255319148936174,6.74113475177305,1299
Kwun Tong Road Eastbound,Fast Lane,10,South,Y,2025-03-07,36.202127659574465,22.56382978723404,1655
Kwun Tong Road Eastbound,Middle Lane,10,South,Y,2025-03-07,49.452127659574465,6.377659574468085,841
Kwun Tong Road Eastbound,Slow Lane,10,South,Y,2025-03-07,47.191489361702125,4.558510638297872,277
New Clear Water Bay Road Eastbound,Fast Lane,10,East,Y,2025-03-07,65.74468085106383,4.047872340425532,434
New Clear Water Bay Road Eastbound,Middle Lane,10,East,Y,2025-03-07,58.62765957446808,8.106382978723405,287
New Clear Water Bay Road Eastbound,Slow Lane,10,East,Y,2025-03-07,65.48936170212765,4.319148936170213,316
New Clear Water Bay Road Eastbound,Fast Lane,10,North West,Y,2025-03-07,53.191489361702125,2.3085106382978724,130
New Clear Water Bay Road Eastbound,Slow Lane,10,North West,Y,2025-03-07,47.03191489361702,5.9361702127659575,242
New Clear Water Bay Road Eastbound,Fast Lane,10,South East,Y,2025-03-07,65.97872340425532,7.957446808510638,312
New Clear Water Bay Road Eastbound,Middle Lane,10,South East,Y,2025-03-07,68.30851063829788,7.0,321
New Clear Water Bay Road Eastbound,Slow Lane,10,South East,Y,2025-03-07,64.08510638297872,4.48936170212766,78
New Clear Water Bay Road Westbound,Fast Lane,10,South,Y,2025-03-07,58.648936170212764,11.893617021276595,430
New Clear Water Bay Road Westbound,Fast Lane,10,North West,Y,2025-03-07,44.644444444444446,20.844444444444445,740
New Clear Water Bay Road Westbound,Slow Lane,10,North West,Y,2025-03-07,51.78888888888889,0.4777777777777778,23
New Clear Water Bay Road Westbound,Fast Lane,10,West,Y,2025-03-07,64.6086956521739,6.760869565217392,695
New Clear Water Bay Road Westbound,Slow Lane,10,West,Y,2025-03-07,53.04255319148936,6.98936170212766,322
Prince Edward Road Northeastbound,Fast Lane,10,North East,Y,2025-03-07,70.47340425531915,8.22340425531915,896
Prince Edward Road Northeastbound,Slow Lane,10,North East,Y,2025-03-07,68.19680851063829,7.180851063829787,706
Prince Edward Road Northeastbound,Middle Lane,10,North East,Y,2025-03-07,76.29787234042553,6.446808510638298,348
Prince Edward Road Southeastbound,Fast Lane,10,South West,Y,2025-03-07,62.691489361702125,20.51063829787234,793
Prince Edward Road Southeastbound,Slow Lane,10,South West,Y,2025-03-07,74.31914893617021,4.851063829787234,294
New Clear Water Bay Road Westbound,Fast Lane,10,North West,N,2025-03-07,40.0,20.75,37
New Clear Water Bay Road Westbound,Slow Lane,10,North West,N,2025-03-07,50.0,0.0,0
Kwun Tong Road Westbound,Fast Lane,11,North West,Y,2025-03-07,51.19787234042553,6.8446808510638295,2919
Kwun Tong Road Westbound,Middle Lane 1,11,North West,Y,2025-03-07,48.93617021276596,5.867021276595745,1614
Kwun Tong Road Westbound,Middle Lane 2,11,North West,Y,2025-03-07,52.77925531914894,4.872340425531915,1468
Kwun Tong Road Westbound,Slow Lane,11,North West,Y,2025-03-07,51.87021276595745,3.246808510638298,978
